"","Country/Region","date.x","var","value","value_new","population","Lat","Long","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date.y"
"169","Croatia",2020-04-10,"active",1243,23,4105000,7,15,1495,88,21,1,231,1243,34,364,5,14612,3559,"Europe","2020-04-10"
"170","Croatia",2020-04-10,"confirmed",1495,88,4105000,38,7,1495,88,21,1,231,1243,34,364,5,14612,3559,"Europe","2020-04-10"
"171","Croatia",2020-04-10,"deaths",21,1,4105000,33,4,1495,88,21,1,231,1243,34,364,5,14612,3559,"Europe","2020-04-10"
"172","Croatia",2020-04-10,"recovered",231,40,4105000,37,1,1495,88,21,1,231,1243,34,364,5,14612,3559,"Europe","2020-04-10"
"173","Cuba",2020-04-10,"active",498,54,11327000,7,-80,564,49,15,NA,51,498,11,50,1,12023,1061,"North America","2020-04-10"
"174","Cuba",2020-04-10,"confirmed",564,49,11327000,3,-80,564,49,15,NA,51,498,11,50,1,12023,1061,"North America","2020-04-10"
"175","Cuba",2020-04-10,"deaths",15,NA,11327000,12,-80,564,49,15,NA,51,498,11,50,1,12023,1061,"North America","2020-04-10"
"176","Cuba",2020-04-10,"recovered",51,1,11327000,5,-80,564,49,15,NA,51,498,11,50,1,12023,1061,"North America","2020-04-10"
"177","Cyprus",2020-04-10,"active",527,36,1207000,5,17,595,31,10,NA,58,527,11,493,8,16308,13507,"Asia","2020-04-10"
"178","Cyprus",2020-04-10,"confirmed",595,31,1207000,10,18,595,31,10,NA,58,527,11,493,8,16308,13507,"Asia","2020-04-10"
"179","Cyprus",2020-04-10,"deaths",10,NA,1207000,11,11,595,31,10,NA,58,527,11,493,8,16308,13507,"Asia","2020-04-10"
"180","Cyprus",2020-04-10,"recovered",58,1,1207000,3,27,595,31,10,NA,58,527,11,493,8,16308,13507,"Asia","2020-04-10"
"181","Czechia",2020-04-10,"active",5209,176,10709000,36,8,5674,105,119,7,346,5209,98,530,11,114854,10725,"Europe","2020-04-10"
"182","Czechia",2020-04-10,"confirmed",5674,105,10709000,6,10,5674,105,119,7,346,5209,98,530,11,114854,10725,"Europe","2020-04-10"
"183","Czechia",2020-04-10,"deaths",119,7,10709000,36,7,5674,105,119,7,346,5209,98,530,11,114854,10725,"Europe","2020-04-10"
"184","Czechia",2020-04-10,"recovered",346,68,10709000,36,11,5674,105,119,7,346,5209,98,530,11,114854,10725,"Europe","2020-04-10"
"185","Denmark",2020-04-10,"active",3799,94,5792000,56.2639,-6.9118,5819,184,247,10,1773,3799,113,1005,43,64731,11176,"Europe","2020-04-10"
"186","Denmark",2020-04-10,"confirmed",5819,184,5792000,61.8926,-42.6043,5819,184,247,10,1773,3799,113,1005,43,64731,11176,"Europe","2020-04-10"
"187","Denmark",2020-04-10,"deaths",247,10,5792000,56.2639,-6.9118,5819,184,247,10,1773,3799,113,1005,43,64731,11176,"Europe","2020-04-10"
"188","Denmark",2020-04-10,"recovered",1773,120,5792000,71.7069,-42.6043,5819,184,247,10,1773,3799,113,1005,43,64731,11176,"Europe","2020-04-10"
"189","Diamond Princess",2020-04-10,"active",82,0,2600,0,0,712,NA,11,NA,619,82,10,NA,NA,NA,NA,"","2020-04-10"
"190","Diamond Princess",2020-04-10,"confirmed",712,NA,2600,0,0,712,NA,11,NA,619,82,10,NA,NA,NA,NA,"","2020-04-10"
"191","Diamond Princess",2020-04-10,"deaths",11,NA,2600,0,0,712,NA,11,NA,619,82,10,NA,NA,NA,NA,"","2020-04-10"
"192","Diamond Princess",2020-04-10,"recovered",619,0,2600,0,0,712,NA,11,NA,619,82,10,NA,NA,NA,NA,"","2020-04-10"
"193","Djibouti",2020-04-10,"active",113,0,988000,9,20,150,10,1,NA,36,113,NA,152,1,3740,3785,"Africa","2020-04-10"
"194","Djibouti",2020-04-10,"confirmed",150,10,988000,9,10,150,10,1,NA,36,113,NA,152,1,3740,3785,"Africa","2020-04-10"
"195","Djibouti",2020-04-10,"deaths",1,NA,988000,6,9,150,10,1,NA,36,113,NA,152,1,3740,3785,"Africa","2020-04-10"
"196","Djibouti",2020-04-10,"recovered",36,0,988000,3,32,150,10,1,NA,36,113,NA,152,1,3740,3785,"Africa","2020-04-10"
"197","Dominica",2020-04-10,"active",11,0,72000,4,-61.371,16,1,NA,NA,5,11,NA,222,NA,309,4293,"North America","2020-04-10"
"198","Dominica",2020-04-10,"confirmed",16,1,72000,14,-61.371,16,1,NA,NA,5,11,NA,222,NA,309,4293,"North America","2020-04-10"
"199","Dominica",2020-04-10,"deaths",NA,NA,72000,15,-61.371,16,1,NA,NA,5,11,NA,222,NA,309,4293,"North America","2020-04-10"
"200","Dominica",2020-04-10,"recovered",5,0,72000,4,-61.371,16,1,NA,NA,5,11,NA,222,NA,309,4293,"North America","2020-04-10"
"201","Dominican Republic",2020-04-10,"active",2396,198,10848000,13,-70.1627,2620,271,126,8,98,2396,147,242,12,7936,732,"North America","2020-04-10"
"202","Dominican Republic",2020-04-10,"confirmed",2620,271,10848000,13,-70.1627,2620,271,126,8,98,2396,147,242,12,7936,732,"North America","2020-04-10"
"203","Dominican Republic",2020-04-10,"deaths",126,8,10848000,17,-70.1627,2620,271,126,8,98,2396,147,242,12,7936,732,"North America","2020-04-10"
"204","Dominican Republic",2020-04-10,"recovered",98,30,10848000,16,-70.1627,2620,271,126,8,98,2396,147,242,12,7936,732,"North America","2020-04-10"
"205","Ecuador",2020-04-10,"active",6496,286,17643000,-1.8312,-78.1834,7161,2196,297,25,368,6496,171,406,17,21568,1222,"South America","2020-04-10"
"206","Ecuador",2020-04-10,"confirmed",7161,2196,17643000,-1.8312,-78.1834,7161,2196,297,25,368,6496,171,406,17,21568,1222,"South America","2020-04-10"
"207","Ecuador",2020-04-10,"deaths",297,25,17643000,-1.8312,-78.1834,7161,2196,297,25,368,6496,171,406,17,21568,1222,"South America","2020-04-10"
"208","Ecuador",2020-04-10,"recovered",368,199,17643000,-1.8312,-78.1834,7161,2196,297,25,368,6496,171,406,17,21568,1222,"South America","2020-04-10"
"209","Egypt",2020-04-10,"active",1233,81,102334000,11,28,1699,NA,118,NA,348,1233,NA,17,1,25000,244,"Africa","2020-04-10"
"210","Egypt",2020-04-10,"confirmed",1699,NA,102334000,20,17,1699,NA,118,NA,348,1233,NA,17,1,25000,244,"Africa","2020-04-10"
"211","Egypt",2020-04-10,"deaths",118,NA,102334000,7,22,1699,NA,118,NA,348,1233,NA,17,1,25000,244,"Africa","2020-04-10"
"212","Egypt",2020-04-10,"recovered",348,43,102334000,6,10,1699,NA,118,NA,348,1233,NA,17,1,25000,244,"Africa","2020-04-10"
"213","El Salvador",2020-04-10,"active",96,4,6486000,6,-88.8965,117,14,6,NA,15,96,4,18,0.9,NA,NA,"North America","2020-04-10"
"214","El Salvador",2020-04-10,"confirmed",117,14,6486000,7,-88.8965,117,14,6,NA,15,96,4,18,0.9,NA,NA,"North America","2020-04-10"
"215","El Salvador",2020-04-10,"deaths",6,NA,6486000,10,-88.8965,117,14,6,NA,15,96,4,18,0.9,NA,NA,"North America","2020-04-10"
"216","El Salvador",2020-04-10,"recovered",15,5,6486000,5,-88.8965,117,14,6,NA,15,96,4,18,0.9,NA,NA,"North America","2020-04-10"
"217","Equatorial Guinea",2020-04-10,"active",15,0,1403000,1,9,18,NA,NA,NA,3,15,NA,13,NA,854,609,"Africa","2020-04-10"
"218","Equatorial Guinea",2020-04-10,"confirmed",18,NA,1403000,1,2,18,NA,NA,NA,3,15,NA,13,NA,854,609,"Africa","2020-04-10"
"219","Equatorial Guinea",2020-04-10,"deaths",NA,NA,1403000,1,8,18,NA,NA,NA,3,15,NA,13,NA,854,609,"Africa","2020-04-10"
"220","Equatorial Guinea",2020-04-10,"recovered",3,0,1403000,1,9,18,NA,NA,NA,3,15,NA,13,NA,854,609,"Africa","2020-04-10"
"221","Eritrea",2020-04-10,"active",33,0,3546000,6,36,33,NA,NA,NA,NA,33,NA,9,NA,NA,NA,"Africa","2020-04-10"
"222","Eritrea",2020-04-10,"confirmed",33,NA,3546000,2,16,33,NA,NA,NA,NA,33,NA,9,NA,NA,NA,"Africa","2020-04-10"
"223","Eritrea",2020-04-10,"deaths",NA,NA,3546000,3,24,33,NA,NA,NA,NA,33,NA,9,NA,NA,NA,"Africa","2020-04-10"
"224","Eritrea",2020-04-10,"recovered",NA,0,3546000,11,16,33,NA,NA,NA,NA,33,NA,9,NA,NA,NA,"Africa","2020-04-10"
"225","Estonia",2020-04-10,"active",1141,11,1327000,22,24,1258,51,24,NA,93,1141,9,948,18,27883,21019,"Europe","2020-04-10"
"226","Estonia",2020-04-10,"confirmed",1258,51,1327000,2,17,1258,51,24,NA,93,1141,9,948,18,27883,21019,"Europe","2020-04-10"
"227","Estonia",2020-04-10,"deaths",24,NA,1327000,55,3,1258,51,24,NA,93,1141,9,948,18,27883,21019,"Europe","2020-04-10"
"228","Estonia",2020-04-10,"recovered",93,11,1327000,10,23,1258,51,24,NA,93,1141,9,948,18,27883,21019,"Europe","2020-04-10"
"229","Eswatini",2020-04-10,"active",5,0,1160000,-26.5225,10,12,NA,NA,NA,7,5,NA,10,NA,NA,NA,"Africa","2020-04-10"
"230","Eswatini",2020-04-10,"confirmed",12,NA,1160000,-26.5225,25,12,NA,NA,NA,7,5,NA,10,NA,NA,NA,"Africa","2020-04-10"
"231","Eswatini",2020-04-10,"deaths",NA,NA,1160000,-26.5225,18,12,NA,NA,NA,7,5,NA,10,NA,NA,NA,"Africa","2020-04-10"
"232","Eswatini",2020-04-10,"recovered",7,0,1160000,-26.5225,31,12,NA,NA,NA,7,5,NA,10,NA,NA,NA,"Africa","2020-04-10"
"233","Ethiopia",2020-04-10,"active",58,1,114964000,5,7,65,9,3,1,4,58,1,0.6,0.03,3232,28,"Africa","2020-04-10"
"234","Ethiopia",2020-04-10,"confirmed",65,9,114964000,8,30,65,9,3,1,4,58,1,0.6,0.03,3232,28,"Africa","2020-04-10"
"235","Ethiopia",2020-04-10,"deaths",3,1,114964000,9,16,65,9,3,1,4,58,1,0.6,0.03,3232,28,"Africa","2020-04-10"
"236","Ethiopia",2020-04-10,"recovered",4,0,114964000,9,23,65,9,3,1,4,58,1,0.6,0.03,3232,28,"Africa","2020-04-10"
"237","Fiji",2020-04-10,"active",16,0,896000,-17.7134,82,16,1,NA,NA,NA,16,NA,18,NA,NA,NA,"Australia/Oceania","2020-04-10"
"238","Fiji",2020-04-10,"confirmed",16,1,896000,-17.7134,56,16,1,NA,NA,NA,16,NA,18,NA,NA,NA,"Australia/Oceania","2020-04-10"
"239","Fiji",2020-04-10,"deaths",NA,NA,896000,-17.7134,53,16,1,NA,NA,NA,16,NA,18,NA,NA,NA,"Australia/Oceania","2020-04-10"
"240","Fiji",2020-04-10,"recovered",NA,0,896000,-17.7134,65,16,1,NA,NA,NA,16,NA,18,NA,NA,NA,"Australia/Oceania","2020-04-10"
"241","Finland",2020-04-10,"active",2421,116,5541000,25,4,2769,164,48,6,300,2421,82,500,9,41200,7436,"Europe","2020-04-10"
"242","Finland",2020-04-10,"confirmed",2769,164,5541000,56,11,2769,164,48,6,300,2421,82,500,9,41200,7436,"Europe","2020-04-10"
"243","Finland",2020-04-10,"deaths",48,6,5541000,43,18,2769,164,48,6,300,2421,82,500,9,41200,7436,"Europe","2020-04-10"
"244","Finland",2020-04-10,"recovered",300,0,5541000,21,11,2769,164,48,6,300,2421,82,500,9,41200,7436,"Europe","2020-04-10"
"245","France",2020-04-10,"active",82333,1520,65274000,16.25,149.4068,117749,NA,12210,NA,23206,82333,7066,1804,187,333807,5114,"Europe","2020-04-10"
"246","France",2020-04-10,"confirmed",117749,NA,65274000,-12.8275,2.2137,117749,NA,12210,NA,23206,82333,7066,1804,187,333807,5114,"Europe","2020-04-10"
"247","France",2020-04-10,"deaths",12210,NA,65274000,-17.6797,-63.0501,117749,NA,12210,NA,23206,82333,7066,1804,187,333807,5114,"Europe","2020-04-10"
"248","France",2020-04-10,"recovered",23206,1961,65274000,18.0708,-62.8333,117749,NA,12210,NA,23206,82333,7066,1804,187,333807,5114,"Europe","2020-04-10"
"249","Gabon",2020-04-10,"active",42,10,2226000,-0.8037,8,44,NA,1,NA,1,42,NA,20,0.4,NA,NA,"Africa","2020-04-10"
"250","Gabon",2020-04-10,"confirmed",44,NA,2226000,-0.8037,10,44,NA,1,NA,1,42,NA,20,0.4,NA,NA,"Africa","2020-04-10"
"251","Gabon",2020-04-10,"deaths",1,NA,2226000,-0.8037,7,44,NA,1,NA,1,42,NA,20,0.4,NA,NA,"Africa","2020-04-10"
"252","Gabon",2020-04-10,"recovered",1,0,2226000,-0.8037,9,44,NA,1,NA,1,42,NA,20,0.4,NA,NA,"Africa","2020-04-10"
"253","Gambia",2020-04-10,"active",1,0,2417000,8,-15.3101,4,NA,1,NA,2,1,NA,2,0.4,NA,NA,"Africa","2020-04-10"
"254","Gambia",2020-04-10,"confirmed",4,NA,2417000,8,-15.3101,4,NA,1,NA,2,1,NA,2,0.4,NA,NA,"Africa","2020-04-10"
"255","Gambia",2020-04-10,"deaths",1,NA,2417000,9,-15.3101,4,NA,1,NA,2,1,NA,2,0.4,NA,NA,"Africa","2020-04-10"
"256","Gambia",2020-04-10,"recovered",2,0,2417000,6,-15.3101,4,NA,1,NA,2,1,NA,2,0.4,NA,NA,"Africa","2020-04-10"
"257","Georgia",2020-04-10,"active",177,6,3989000,16,20,234,16,3,NA,54,177,6,59,0.8,3271,820,"Asia","2020-04-10"
"258","Georgia",2020-04-10,"confirmed",234,16,3989000,14,16,234,16,3,NA,54,177,6,59,0.8,3271,820,"Asia","2020-04-10"
"259","Georgia",2020-04-10,"deaths",3,NA,3989000,25,8,234,16,3,NA,54,177,6,59,0.8,3271,820,"Asia","2020-04-10"
"260","Georgia",2020-04-10,"recovered",54,1,3989000,39,26,234,16,3,NA,54,177,6,59,0.8,3271,820,"Asia","2020-04-10"
"261","Germany",2020-04-10,"active",64610,-1480,83784000,18,3,119624,1389,2607,NA,52407,64610,4895,1428,31,1317887,15730,"Europe","2020-04-10"
"262","Germany",2020-04-10,"confirmed",119624,1389,83784000,6,2,119624,1389,2607,NA,52407,64610,4895,1428,31,1317887,15730,"Europe","2020-04-10"
"263","Germany",2020-04-10,"deaths",2607,NA,83784000,40,7,119624,1389,2607,NA,52407,64610,4895,1428,31,1317887,15730,"Europe","2020-04-10"
"264","Germany",2020-04-10,"recovered",52407,6107,83784000,22,5,119624,1389,2607,NA,52407,64610,4895,1428,31,1317887,15730,"Europe","2020-04-10"
"265","Ghana",2020-04-10,"active",368,96,31073000,2,-1.0232,378,NA,6,NA,4,368,2,12,0.2,12046,388,"Africa","2020-04-10"
"266","Ghana",2020-04-10,"confirmed",378,NA,31073000,7,-1.0232,378,NA,6,NA,4,368,2,12,0.2,12046,388,"Africa","2020-04-10"
"267","Ghana",2020-04-10,"deaths",6,NA,31073000,3,-1.0232,378,NA,6,NA,4,368,2,12,0.2,12046,388,"Africa","2020-04-10"
"268","Ghana",2020-04-10,"recovered",4,-31,31073000,1,-1.0232,378,NA,6,NA,4,368,2,12,0.2,12046,388,"Africa","2020-04-10"
"269","Greece",2020-04-10,"active",1651,67,10423000,35,17,2011,56,91,4,269,1651,77,193,9,35532,3409,"Europe","2020-04-10"
"270","Greece",2020-04-10,"confirmed",2011,56,10423000,10,12,2011,56,91,4,269,1651,77,193,9,35532,3409,"Europe","2020-04-10"
"271","Greece",2020-04-10,"deaths",91,4,10423000,8,18,2011,56,91,4,269,1651,77,193,9,35532,3409,"Europe","2020-04-10"
"272","Greece",2020-04-10,"recovered",269,0,10423000,31,15,2011,56,91,4,269,1651,77,193,9,35532,3409,"Europe","2020-04-10"
"273","Grenada",2020-04-10,"active",12,0,113000,3,-61.679,12,NA,NA,NA,NA,12,2,107,NA,45,400,"North America","2020-04-10"
"274","Grenada",2020-04-10,"confirmed",12,NA,113000,12,-61.679,12,NA,NA,NA,NA,12,2,107,NA,45,400,"North America","2020-04-10"
"275","Grenada",2020-04-10,"deaths",NA,NA,113000,10,-61.679,12,NA,NA,NA,NA,12,2,107,NA,45,400,"North America","2020-04-10"
"276","Grenada",2020-04-10,"recovered",NA,0,113000,6,-61.679,12,NA,NA,NA,NA,12,2,107,NA,45,400,"North America","2020-04-10"
"277","Guatemala",2020-04-10,"active",106,8,17916000,15,-90.2308,126,31,3,NA,17,106,3,7,0.2,1134,63,"North America","2020-04-10"
"278","Guatemala",2020-04-10,"confirmed",126,31,17916000,8,-90.2308,126,31,3,NA,17,106,3,7,0.2,1134,63,"North America","2020-04-10"
"279","Guatemala",2020-04-10,"deaths",3,NA,17916000,7,-90.2308,126,31,3,NA,17,106,3,7,0.2,1134,63,"North America","2020-04-10"
"280","Guatemala",2020-04-10,"recovered",17,0,17916000,3,-90.2308,126,31,3,NA,17,106,3,7,0.2,1134,63,"North America","2020-04-10"
"281","Guinea",2020-04-10,"active",183,24,13133000,2,-9.6966,194,NA,NA,NA,11,183,NA,15,NA,NA,NA,"Africa","2020-04-10"
"282","Guinea",2020-04-10,"confirmed",194,NA,13133000,8,-9.6966,194,NA,NA,NA,11,183,NA,15,NA,NA,NA,"Africa","2020-04-10"
"283","Guinea",2020-04-10,"deaths",NA,NA,13133000,3,-9.6966,194,NA,NA,NA,11,183,NA,15,NA,NA,NA,"Africa","2020-04-10"
"284","Guinea",2020-04-10,"recovered",11,6,13133000,1,-9.6966,194,NA,NA,NA,11,183,NA,15,NA,NA,NA,"Africa","2020-04-10"
"285","Guinea-Bissau",2020-04-10,"active",36,3,1968000,9,-15.1804,36,NA,NA,NA,NA,36,NA,18,NA,1500,762,"Africa","2020-04-10"
"286","Guinea-Bissau",2020-04-10,"confirmed",36,NA,1968000,10,-15.1804,36,NA,NA,NA,NA,36,NA,18,NA,1500,762,"Africa","2020-04-10"
"287","Guinea-Bissau",2020-04-10,"deaths",NA,NA,1968000,4,-15.1804,36,NA,NA,NA,NA,36,NA,18,NA,1500,762,"Africa","2020-04-10"
"288","Guinea-Bissau",2020-04-10,"recovered",NA,0,1968000,2,-15.1804,36,NA,NA,NA,NA,36,NA,18,NA,1500,762,"Africa","2020-04-10"
"289","Guyana",2020-04-10,"active",23,0,787000,1,-58.75,37,NA,6,NA,8,23,4,47,8,145,184,"South America","2020-04-10"
"290","Guyana",2020-04-10,"confirmed",37,NA,787000,4,-58.75,37,NA,6,NA,8,23,4,47,8,145,184,"South America","2020-04-10"
"291","Guyana",2020-04-10,"deaths",6,NA,787000,5,-58.75,37,NA,6,NA,8,23,4,47,8,145,184,"South America","2020-04-10"
"292","Guyana",2020-04-10,"recovered",8,0,787000,4,-58.75,37,NA,6,NA,8,23,4,47,8,145,184,"South America","2020-04-10"
"293","Haiti",2020-04-10,"active",28,2,11403000,15,-72.2852,30,NA,2,NA,NA,28,NA,3,0.2,257,23,"North America","2020-04-10"
"294","Haiti",2020-04-10,"confirmed",30,NA,11403000,7,-72.2852,30,NA,2,NA,NA,28,NA,3,0.2,257,23,"North America","2020-04-10"
"295","Haiti",2020-04-10,"deaths",2,NA,11403000,14,-72.2852,30,NA,2,NA,NA,28,NA,3,0.2,257,23,"North America","2020-04-10"
"296","Haiti",2020-04-10,"recovered",NA,0,11403000,8,-72.2852,30,NA,2,NA,NA,28,NA,3,0.2,257,23,"North America","2020-04-10"
"297","Holy See",2020-04-10,"active",NA,0,1000,41.9029,12.4534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Holy See",2020-04-10,"confirmed",NA,NA,1000,41.9029,12.4534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","Holy See",2020-04-10,"deaths",NA,NA,1000,41.9029,12.4534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Holy See",2020-04-10,"recovered",NA,0,1000,41.9029,12.4534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Honduras",2020-04-10,"active",352,30,9905000,9,-86.2419,382,39,23,NA,7,352,10,39,2,1600,162,"North America","2020-04-10"
"302","Honduras",2020-04-10,"confirmed",382,39,9905000,12,-86.2419,382,39,23,NA,7,352,10,39,2,1600,162,"North America","2020-04-10"
"303","Honduras",2020-04-10,"deaths",23,NA,9905000,4,-86.2419,382,39,23,NA,7,352,10,39,2,1600,162,"North America","2020-04-10"
"304","Honduras",2020-04-10,"recovered",7,0,9905000,4,-86.2419,382,39,23,NA,7,352,10,39,2,1600,162,"North America","2020-04-10"
"305","Hungary",2020-04-10,"active",1001,75,9660000,4,2,1190,210,77,11,112,1001,17,123,8,29948,3100,"Europe","2020-04-10"
"306","Hungary",2020-04-10,"confirmed",1190,210,9660000,23,19,1190,210,77,11,112,1001,17,123,8,29948,3100,"Europe","2020-04-10"
"307","Hungary",2020-04-10,"deaths",77,11,9660000,23,5,1190,210,77,11,112,1001,17,123,8,29948,3100,"Europe","2020-04-10"
"308","Hungary",2020-04-10,"recovered",112,2,9660000,43,6,1190,210,77,11,112,1001,17,123,8,29948,3100,"Europe","2020-04-10"
"309","Iceland",2020-04-10,"active",918,-23,341000,46,-19.0208,1675,27,6,NA,751,918,11,4909,18,34125,100002,"Europe","2020-04-10"
"310","Iceland",2020-04-10,"confirmed",1675,27,341000,6,-19.0208,1675,27,6,NA,751,918,11,4909,18,34125,100002,"Europe","2020-04-10"
"311","Iceland",2020-04-10,"deaths",6,NA,341000,23,-19.0208,1675,27,6,NA,751,918,11,4909,18,34125,100002,"Europe","2020-04-10"
"312","Iceland",2020-04-10,"recovered",751,55,341000,59,-19.0208,1675,27,6,NA,751,918,11,4909,18,34125,100002,"Europe","2020-04-10"
"313","India",2020-04-10,"active",6477,647,1380004000,12,6,7347,622,229,2,641,6477,NA,5,0.2,177584,129,"Asia","2020-04-10"
"314","India",2020-04-10,"confirmed",7347,622,1380004000,4,71,7347,622,229,2,641,6477,NA,5,0.2,177584,129,"Asia","2020-04-10"
"315","India",2020-04-10,"deaths",229,2,1380004000,11,77,7347,622,229,2,641,6477,NA,5,0.2,177584,129,"Asia","2020-04-10"
"316","India",2020-04-10,"recovered",641,114,1380004000,19,35,7347,622,229,2,641,6477,NA,5,0.2,177584,129,"Asia","2020-04-10"
"317","Indonesia",2020-04-10,"active",2924,267,273524000,-0.7893,32,3512,219,306,26,282,2924,NA,13,1,17679,65,"Asia","2020-04-10"
"318","Indonesia",2020-04-10,"confirmed",3512,219,273524000,-0.7893,82,3512,219,306,26,282,2924,NA,13,1,17679,65,"Asia","2020-04-10"
"319","Indonesia",2020-04-10,"deaths",306,26,273524000,-0.7893,104,3512,219,306,26,282,2924,NA,13,1,17679,65,"Asia","2020-04-10"
"320","Indonesia",2020-04-10,"recovered",282,30,273524000,-0.7893,50,3512,219,306,26,282,2924,NA,13,1,17679,65,"Asia","2020-04-10"
"321","Iran",2020-04-10,"active",28495,-980,59734000,11,42,68192,1972,4232,122,35465,28495,3969,812,50,242568,2888,"Asia","2020-04-10"
"322","Iran",2020-04-10,"confirmed",68192,1972,59734000,13,47,68192,1972,4232,122,35465,28495,3969,812,50,242568,2888,"Asia","2020-04-10"
"323","Iran",2020-04-10,"deaths",4232,122,59734000,11,31,68192,1972,4232,122,35465,28495,3969,812,50,242568,2888,"Asia","2020-04-10"
"324","Iran",2020-04-10,"recovered",35465,2497,59734000,27,2,68192,1972,4232,122,35465,28495,3969,812,50,242568,2888,"Asia","2020-04-10"
"325","Iraq",2020-04-10,"active",659,-14,40223000,24,27,1279,47,70,1,550,659,NA,32,2,32158,800,"Asia","2020-04-10"
"326","Iraq",2020-04-10,"confirmed",1279,47,40223000,7,1,1279,47,70,1,550,659,NA,32,2,32158,800,"Asia","2020-04-10"
"327","Iraq",2020-04-10,"deaths",70,1,40223000,17,40,1279,47,70,1,550,659,NA,32,2,32158,800,"Asia","2020-04-10"
"328","Iraq",2020-04-10,"recovered",550,44,40223000,18,22,1279,47,70,1,550,659,NA,32,2,32158,800,"Asia","2020-04-10"
"329","Ireland",2020-04-10,"active",6286,472,4938000,21,-7.6921,6574,NA,263,NA,25,6286,194,1331,53,53000,10734,"Europe","2020-04-10"
"330","Ireland",2020-04-10,"confirmed",6574,NA,4938000,28,-7.6921,6574,NA,263,NA,25,6286,194,1331,53,53000,10734,"Europe","2020-04-10"
"331","Ireland",2020-04-10,"deaths",263,NA,4938000,48,-7.6921,6574,NA,263,NA,25,6286,194,1331,53,53000,10734,"Europe","2020-04-10"
"332","Ireland",2020-04-10,"recovered",25,0,4938000,48,-7.6921,6574,NA,263,NA,25,6286,194,1331,53,53000,10734,"Europe","2020-04-10"
"333","Israel",2020-04-10,"active",8939,341,8656000,15,28,10095,127,95,9,1061,8939,164,1166,11,117339,13557,"Asia","2020-04-10"
"334","Israel",2020-04-10,"confirmed",10095,127,8656000,22,18,10095,127,95,9,1061,8939,164,1166,11,117339,13557,"Asia","2020-04-10"
"335","Israel",2020-04-10,"deaths",95,9,8656000,23,32,10095,127,95,9,1061,8939,164,1166,11,117339,13557,"Asia","2020-04-10"
"336","Israel",2020-04-10,"recovered",1061,210,8656000,12,19,10095,127,95,9,1061,8939,164,1166,11,117339,13557,"Asia","2020-04-10"
"337","Italy",2020-04-10,"active",98273,1615,60462000,19,8,147577,3951,18849,570,30455,98273,3497,2441,312,906864,14999,"Europe","2020-04-10"
"338","Italy",2020-04-10,"confirmed",147577,3951,60462000,31,3,147577,3951,18849,570,30455,98273,3497,2441,312,906864,14999,"Europe","2020-04-10"
"339","Italy",2020-04-10,"deaths",18849,570,60462000,8,2,147577,3951,18849,570,30455,98273,3497,2441,312,906864,14999,"Europe","2020-04-10"
"340","Italy",2020-04-10,"recovered",30455,1979,60462000,35,1,147577,3951,18849,570,30455,98273,3497,2441,312,906864,14999,"Europe","2020-04-10"
"341","Jamaica",2020-04-10,"active",46,-2,2961000,10,-77.2975,63,NA,4,NA,13,46,NA,21,1,907,306,"North America","2020-04-10"
"342","Jamaica",2020-04-10,"confirmed",63,NA,2961000,1,-77.2975,63,NA,4,NA,13,46,NA,21,1,907,306,"North America","2020-04-10"
"343","Jamaica",2020-04-10,"deaths",4,NA,2961000,4,-77.2975,63,NA,4,NA,13,46,NA,21,1,907,306,"North America","2020-04-10"
"344","Jamaica",2020-04-10,"recovered",13,2,2961000,3,-77.2975,63,NA,4,NA,13,46,NA,21,1,907,306,"North America","2020-04-10"
"345","Japan",2020-04-10,"active",4746,399,126476000,16,18,5530,183,99,NA,685,4746,109,44,0.8,64387,509,"Asia","2020-04-10"
"346","Japan",2020-04-10,"confirmed",5530,183,126476000,9,58,5530,183,99,NA,685,4746,109,44,0.8,64387,509,"Asia","2020-04-10"
"347","Japan",2020-04-10,"deaths",99,NA,126476000,17,99,5530,183,99,NA,685,4746,109,44,0.8,64387,509,"Asia","2020-04-10"
"348","Japan",2020-04-10,"recovered",685,10,126476000,34,107,5530,183,99,NA,685,4746,109,44,0.8,64387,509,"Asia","2020-04-10"
"349","Jordan",2020-04-10,"active",195,2,10203000,5,5,372,NA,7,NA,170,195,5,36,0.7,17000,1666,"Asia","2020-04-10"
"350","Jordan",2020-04-10,"confirmed",372,NA,10203000,19,8,372,NA,7,NA,170,195,5,36,0.7,17000,1666,"Asia","2020-04-10"
"351","Jordan",2020-04-10,"deaths",7,NA,10203000,21,22,372,NA,7,NA,170,195,5,36,0.7,17000,1666,"Asia","2020-04-10"
"352","Jordan",2020-04-10,"recovered",170,11,10203000,9,19,372,NA,7,NA,170,195,5,36,0.7,17000,1666,"Asia","2020-04-10"
"353","Kazakhstan",2020-04-10,"active",738,47,18777000,11,9,812,31,10,2,64,738,21,43,0.5,61955,3300,"Asia","2020-04-10"
