"","Country/Region","date.x","var","value","value_new","population","Lat","Long","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date.y"
"36","Australia",2020-04-10,"recovered",3141,392,25500000,-37.8136,153.4,6203,51,53,2,3141,3009,74,243,2,338346,13269,"Australia/Oceania","2020-04-10"
"37","Austria",2020-04-10,"active",7166,-448,9006000,35,4,13549,305,319,24,6064,7166,261,1504,35,134743,14961,"Europe","2020-04-10"
"38","Austria",2020-04-10,"confirmed",13549,305,9006000,3,2,13549,305,319,24,6064,7166,261,1504,35,134743,14961,"Europe","2020-04-10"
"39","Austria",2020-04-10,"deaths",319,24,9006000,33,9,13549,305,319,24,6064,7166,261,1504,35,134743,14961,"Europe","2020-04-10"
"40","Austria",2020-04-10,"recovered",6064,728,9006000,12,8,13549,305,319,24,6064,7166,261,1504,35,134743,14961,"Europe","2020-04-10"
"41","Azerbaijan",2020-04-10,"active",822,65,10139000,36,46,991,65,10,1,159,822,27,98,1,61342,6050,"Asia","2020-04-10"
"42","Azerbaijan",2020-04-10,"confirmed",991,65,10139000,18,42,991,65,10,1,159,822,27,98,1,61342,6050,"Asia","2020-04-10"
"43","Azerbaijan",2020-04-10,"deaths",10,1,10139000,25,34,991,65,10,1,159,822,27,98,1,61342,6050,"Asia","2020-04-10"
"44","Azerbaijan",2020-04-10,"recovered",159,38,10139000,3,10,991,65,10,1,159,822,27,98,1,61342,6050,"Asia","2020-04-10"
"45","Bahamas",2020-04-10,"active",28,0,393000,5,-77.3963,41,NA,8,NA,5,28,1,104,20,NA,NA,"North America","2020-04-10"
"46","Bahamas",2020-04-10,"confirmed",41,NA,393000,21,-77.3963,41,NA,8,NA,5,28,1,104,20,NA,NA,"North America","2020-04-10"
"47","Bahamas",2020-04-10,"deaths",8,NA,393000,17,-77.3963,41,NA,8,NA,5,28,1,104,20,NA,NA,"North America","2020-04-10"
"48","Bahamas",2020-04-10,"recovered",5,0,393000,9,-77.3963,41,NA,8,NA,5,28,1,104,20,NA,NA,"North America","2020-04-10"
"49","Bahrain",2020-04-10,"active",377,22,1702000,15,5,913,26,6,1,530,377,3,537,4,57307,33679,"Asia","2020-04-10"
"50","Bahrain",2020-04-10,"confirmed",913,26,1702000,6,41,913,26,6,1,530,377,3,537,4,57307,33679,"Asia","2020-04-10"
"51","Bahrain",2020-04-10,"deaths",6,1,1702000,22,31,913,26,6,1,530,377,3,537,4,57307,33679,"Asia","2020-04-10"
"52","Bahrain",2020-04-10,"recovered",530,42,1702000,1,42,913,26,6,1,530,377,3,537,4,57307,33679,"Asia","2020-04-10"
"53","Bangladesh",2020-04-10,"active",364,111,164689000,3,23,424,94,27,6,33,364,1,3,0.2,7359,45,"Asia","2020-04-10"
"54","Bangladesh",2020-04-10,"confirmed",424,94,164689000,4,75,424,94,27,6,33,364,1,3,0.2,7359,45,"Asia","2020-04-10"
"55","Bangladesh",2020-04-10,"deaths",27,6,164689000,13,2,424,94,27,6,33,364,1,3,0.2,7359,45,"Asia","2020-04-10"
"56","Bangladesh",2020-04-10,"recovered",33,0,164689000,12,5,424,94,27,6,33,364,1,3,0.2,7359,45,"Asia","2020-04-10"
"57","Barbados",2020-04-10,"active",51,0,287000,4,-59.5432,66,NA,4,1,11,51,4,230,14,694,2415,"North America","2020-04-10"
"58","Barbados",2020-04-10,"confirmed",66,NA,287000,5,-59.5432,66,NA,4,1,11,51,4,230,14,694,2415,"North America","2020-04-10"
"59","Barbados",2020-04-10,"deaths",4,1,287000,1,-59.5432,66,NA,4,1,11,51,4,230,14,694,2415,"North America","2020-04-10"
"60","Barbados",2020-04-10,"recovered",11,3,287000,7,-59.5432,66,NA,4,1,11,51,4,230,14,694,2415,"North America","2020-04-10"
"61","Belarus",2020-04-10,"active",1793,355,9449000,24,17,1981,495,19,3,169,1793,72,210,2,53000,5609,"Europe","2020-04-10"
"62","Belarus",2020-04-10,"confirmed",1981,495,9449000,2,20,1981,495,19,3,169,1793,72,210,2,53000,5609,"Europe","2020-04-10"
"63","Belarus",2020-04-10,"deaths",19,3,9449000,7,8,1981,495,19,3,169,1793,72,210,2,53000,5609,"Europe","2020-04-10"
