"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date"
"166","Libya",24,NA,1,NA,8,15,NA,3,0.1,492,72,"Africa","2020-04-10"
"167","Somalia",21,9,1,NA,1,19,NA,1,0.06,NA,NA,"Africa","2020-04-10"
"168","Mozambique",20,3,NA,NA,2,18,NA,0.6,NA,483,15,"Africa","2020-04-10"
"169","Angola",19,NA,2,NA,2,15,NA,0.6,0.06,NA,NA,"Africa","2020-04-10"
"170","Antigua and Barbuda",19,NA,2,NA,NA,17,1,194,20,40,408,"North America","2020-04-10"
"171","Syria",19,NA,2,NA,4,13,NA,1,0.1,NA,NA,"Asia","2020-04-10"
"172","Maldives",19,NA,NA,NA,13,6,NA,35,NA,NA,NA,"Asia","2020-04-10"
"173","Equatorial Guinea",18,NA,NA,NA,3,15,NA,13,NA,854,609,"Africa","2020-04-10"
"174","New Caledonia",18,NA,NA,NA,1,17,NA,63,NA,2608,9135,"Australia/Oceania","2020-04-10"
"175","Dominica",16,1,NA,NA,5,11,NA,222,NA,309,4293,"North America","2020-04-10"
"176","Fiji",16,1,NA,NA,NA,16,NA,18,NA,NA,NA,"Australia/Oceania","2020-04-10"
"177","Laos",16,NA,NA,NA,NA,16,NA,2,NA,1035,142,"Asia","2020-04-10"
"178","Mongolia",16,NA,NA,NA,4,12,NA,5,NA,NA,NA,"Asia","2020-04-10"
"179","Namibia",16,NA,NA,NA,3,13,NA,6,NA,362,142,"Africa","2020-04-10"
"180","Sudan",15,NA,2,NA,2,11,NA,0.3,0.05,NA,NA,"Africa","2020-04-10"
"181","Curaçao",14,NA,1,NA,7,6,NA,85,6,NA,NA,"North America","2020-04-10"
"182","Saint Lucia",14,NA,NA,NA,1,13,NA,76,NA,NA,NA,"North America","2020-04-10"
"183","Botswana",13,NA,1,NA,NA,12,NA,6,0.4,1154,491,"Africa","2020-04-10"
"184","Grenada",12,NA,NA,NA,NA,12,2,107,NA,45,400,"North America","2020-04-10"
"185","Saint Vincent and the Grenadines",12,NA,NA,NA,1,11,NA,108,NA,56,505,"North America","2020-04-10"
"186","Eswatini",12,NA,NA,NA,7,5,NA,10,NA,NA,NA,"Africa","2020-04-10"
"187","Zimbabwe",11,NA,3,NA,NA,8,NA,0.7,0.2,438,29,"Africa","2020-04-10"
"188","Chad",11,NA,NA,NA,2,9,NA,0.7,NA,NA,NA,"Africa","2020-04-10"
"189","Greenland",11,NA,NA,NA,11,0,NA,194,NA,770,13564,"North America","2020-04-10"
"190","Saint Kitts and Nevis",11,NA,NA,NA,NA,11,NA,207,NA,197,3703,"North America","2020-04-10"
"191","Seychelles",11,NA,NA,NA,NA,11,NA,112,NA,NA,NA,"Africa","2020-04-10"
"192","Belize",10,1,1,NA,NA,9,1,25,3,364,915,"North America","2020-04-10"
"193","Suriname",10,NA,1,NA,4,5,NA,17,2,NA,NA,"South America","2020-04-10"
"194","MS Zaandam",9,NA,2,NA,NA,7,NA,NA,NA,NA,NA,"","2020-04-10"
"195","Malawi",9,1,1,NA,NA,8,1,0.5,0.05,NA,NA,"Africa","2020-04-10"
